Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Angola,Prevalence of low birth weight among new-borns,Total,2000,18,Units,%,Modelled,Free,13.685264,23.425119,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2001,17.9,Units,%,Modelled,Free,13.534361,23.137117,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2002,17.7,Units,%,Modelled,Free,13.709152,22.674946,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2003,17.5,Units,%,Modelled,Free,13.449228,22.755066,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2004,17.3,Units,%,Modelled,Free,13.398809,22.699812,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2005,17.1,Units,%,Modelled,Free,13.015461,22.674538,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2006,16.9,Units,%,Modelled,Free,12.971579,22.276472,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2007,16.7,Units,%,Modelled,Free,13.05965,22.159403,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2008,16.5,Units,%,Modelled,Free,12.575577,22.254242,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2009,16.3,Units,%,Modelled,Free,12.431501,21.709538,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
Angola,Prevalence of low birth weight among new-borns,Total,2010,16.1,Units,%,Modelled,Free,12.282484,21.948786,,hierarchical regression,UNICEF-WHO Low birthweight estimates 2019,UNICEF-WHO Low birthweight estimates 2019,https://data.unicef.org/topic/nutrition/low-birthweight/,UNICEF WHO,,,2000-2015,Total
